City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,Ugoofaaru,MV,83.41,scattered clouds,5.6667,73.0,Ungoofaaru Inn
170,Airai,TL,72.09,broken clouds,-8.9266,125.4092,Juvinal Martin
171,Puerto Narino,CO,77.0,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
175,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
176,Yantzaza,EC,67.5,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
179,Katsuura,JP,64.4,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
180,Quelimane,MZ,77.0,few clouds,-17.8786,36.8883,Hotel Flamingo
182,Tuatapere,NZ,73.99,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
183,Abu Dhabi,AE,68.0,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
184,Minatitlan,MX,72.75,few clouds,17.9833,-94.5167,Grand Regency Express
185,Mollendo,PE,70.48,few clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
186,Umtata,ZA,65.88,clear sky,-31.5889,28.7844,LLZZ Boutique Lodge
191,Aquiraz,BR,82.0,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
192,Richards Bay,ZA,71.31,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
193,Volta Redonda,BR,77.0,scattered clouds,-22.5231,-44.1042,Hotel Dexter
194,Buta,CD,70.05,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
197,Maceio,BR,73.4,clear sky,-9.6658,-35.7353,Poutur Pousada
198,Arraial Do Cabo,BR,75.97,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
199,Labuhan,ID,85.28,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
200,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
201,Cravo Norte,CO,81.46,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
203,Lethem,GY,77.0,overcast clouds,3.3803,-59.7968,Savannah Inn
208,Mar Del Plata,AR,64.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
